Days,Grasses,Leaves,Pine
0.0396,0,0,0
0.5176,-179.447,-23.15166667,-18.10433333
0.996,-347.5013333,-100.383,-87.34033333
1.4744,-414.406,-324.5813333,-205.191
1.9524,-462.5883333,-470.8396667,-331.8816667
2.4308,-507.703,-551.2496667,-406.737
2.9088,-564.202,-627.863,-497.5046667
3.3872,-617.7436667,-694.854,-576.7626667
3.8656,-677.9356667,-754.6286667,-654.2706667
4.3436,-735.8493333,-802.1233333,-711.0996667
4.822,-797.844,-858.8123333,-775.899
5.3,-853.192,-918.9906667,-834.647
5.7784,-900.246,-976.5426667,-890.5763333
6.2568,-941.5143333,-1031.474667,-937.81
6.7348,-983.4956667,-1083.770333,-978.1443333
7.2132,-1023.105,-1130.088,-1012.692
7.6912,-1065.466,-1180.512333,-1058.148333
8.1696,-1106.086667,-1231.587333,-1093.462667
8.6476,-1143.353333,-1276.956667,-1123.203333
9.126,-1178.409333,-1315.619333,-1153.328
9.6044,-1214.141333,-1359.060667,-1186.608
10.0824,-1250.137,-1405.274,-1227.147
10.5608,-1282.164,-1450.482333,-1259.364333
11.0388,-1310.419,-1491.027,-1291.94
11.5172,-1338.86,-1533.173333,-1327.564333
11.9956,-1366.865333,-1576.039,-1364.580667
12.4736,-1394.009,-1617.682333,-1402.002667
12.952,-1427.222333,-1658.057667,-1439.384333
13.43,-1454.165667,-1694.346667,-1470.339
13.9084,-1476.379,-1730.052667,-1499.804333
14.3868,-1507.179333,-1770.706,-1526.245
14.8648,-1534.724,-1806.915,-1559.610667
15.3432,-1562.747,-1840.579,-1590.579333
15.8212,-1590.609333,-1877.31,-1622.379667
16.2996,-1617.096333,-1911.850667,-1651.419333
16.7776,-1643.967,-1941.763667,-1678.860667
17.256,-1673.241333,-1972.811333,-1705.283
17.7344,-1700.926,-2006.351,-1735.873
18.2124,-1725.155,-2038.592333,-1766.383333
18.6908,-1750.009,-2070.824667,-1794.973333
19.1688,-1778.918333,-2100.686,-1826.478333
19.6472,-1809.858667,-2131.977667,-1858.528667
20.1256,-1842.354667,-2177.887667,-1902.799667
20.6036,-1867.860333,-2228.182333,-1940.530333
21.082,-1894.663667,-2268.004667,-1979.067333
21.56,-1922.331,-2302.821333,-2011.100667
22.0384,-1948.063333,-2337.554667,-2042.641667
22.5168,-1977.102,-2370.646,-2072.061667
22.9948,-2000.691,-2401.09,-2101.477667
23.4732,-2024.950333,-2430.496,-2128.784333
23.9512,-2050.254667,-2461.368667,-2158.691333
24.4296,-2076.836333,-2495.880667,-2190.107
24.9076,-2104.019667,-2527.593667,-2216.506333
25.386,-2128.960667,-2562.685667,-2248.598333
25.8644,-2158.083333,-2594.922667,-2276.858333
26.3424,-2184.190333,-2625.601667,-2306.832667
26.8208,-2205.484667,-2655.629667,-2335.306
27.2988,-2232.841667,-2687.114,-2365.442
27.7772,-2261.31,-2719.422333,-2398.507
28.2556,-2287.326,-2752.678667,-2429.567
28.7336,-2309.922667,-2786.797667,-2463.365667
29.212,-2336.654667,-2818.251667,-2491.087
29.69,-2363.865333,-2852.565333,-2523.986667
30.1684,-2389.882667,-2886.234333,-2560.890333
30.6468,-2418.141333,-2917.757333,-2592.642
31.1248,-2447.081667,-2953.742333,-2627.997
31.6032,-2474.471667,-2987.468333,-2657.610667
32.0812,-2500.939,-3020.095333,-2690.296
32.5596,-2528.787333,-3053.531,-2724.397333
33.0376,-2557.704333,-3084.749,-2756.193667
33.516,-2586.335,-3119.647667,-2787.276
33.9944,-2614.037667,-3151.362333,-2818.684333
34.4724,-2645.444333,-3187.615,-2857.072667
34.9508,-2669.566333,-3221.061,-2889.971667
35.4288,-2694.110333,-3253.022,-2920.526667
35.9072,-2720.272333,-3284.690667,-2952.688667
36.3856,-2746.26,-3313.461333,-2984.514
36.8636,-2772.351,-3345.856,-3017.484333
37.342,-2799.840667,-3377.970333,-3049.121333
37.82,-2826.396333,-3409.649,-3077.855333
38.2984,-2851.644667,-3439.806333,-3107.314
38.7768,-2866.203333,-3468.140333,-3136.992
39.2548,-2885.188333,-3494.608333,-3155.434333
39.7332,-2897.923,-3517.564333,-3175.433333
40.2112,-2908.793667,-3538.853333,-3192.164333
40.6896,-2922.992333,-3553.648,-3203.163
41.1676,-2931.678667,-3572.146667,-3223.378333
41.646,-2931.697333,-3576.893333,-3228.206667
42.1244,-2939.687,-3595.209,-3241.118667
42.6024,-2932.820333,-3605.943333,-3247.836667
43.0808,-2935.500667,-3616.052667,-3253.576667
